year,Amonyum_Sulfat,CAN,Ure,DAP,Gubre_20_20_0,fertilizer_price
2002,178.0,194.0,261.0,389.0,279.0,211.0
2003,214.0,253.0,340.0,427.0,314.0,269.0
2004,295.0,301.0,381.0,550.0,394.0,325.67
2005,276.0,323.0,463.0,553.0,411.0,354.0
2006,283.0,328.0,512.0,608.0,439.0,374.33
2007,362.0,385.0,662.0,798.0,542.0,469.67
2008,620.0,561.0,836.0,1839.0,1221.0,672.33
2009,358.0,480.0,693.0,758.0,572.0,510.33
2010,382.0,483.0,694.0,1011.0,679.0,519.67
2011,585.0,617.0,982.0,1498.0,1060.0,728.0
2012,641.0,761.0,1178.0,1465.0,1054.0,860.0
2013,623.0,813.0,1120.0,1330.0,960.0,852.0
2014,620.0,879.0,1159.0,1568.0,1062.0,886.0
2015,681.0,853.0,1176.0,1825.0,1260.0,903.33
2016,644.0,789.0,1035.0,1471.0,1062.0,822.67
2017,708.0,855.0,1156.0,1538.0,1096.0,906.33
2018,1011.0,977.0,1664.0,2383.0,1587.0,1217.33
2019,1219.0,1222.0,2018.0,2654.0,1892.0,1486.33
2020,1700.0,1380.0,3600.0,4000.0,2800.0,2226.67
2021,5798.0,6340.0,7989.0,9150.0,5960.0,6709.0
2022,13780.0,11300.0,20980.0,21160.0,12160.0,15353.33
2023,7780.0,9170.0,14514.0,20022.0,13742.0,10488.0
2024,9420.0,9750.0,14630.0,23520.0,15193.0,11266.67
2025,11300.0,12150.0,20200.0,26400.0,17100.0,14550.0
