year,season,inflation_index,annual_inflation_pct
2014,Winter,238.6,7.94
2014,Spring,239.62333333333333,9.14
2014,Summer,242.88,9.34
2014,Fall,246.9766666666667,8.99
2015,Winter,257.41,7.88
2015,Spring,258.49,7.87
2015,Summer,260.01,7.05
2015,Fall,266.43,7.88
2016,Winter,280.4533333333333,8.95
2016,Spring,276.2366666666667,6.87
2016,Summer,281.2233333333333,8.16
2016,Fall,285.46999999999997,7.15
2017,Winter,309.77333333333337,10.45
2017,Spring,308.36,11.63
2017,Summer,310.62333333333333,10.45
2017,Fall,319.82,12.03
2018,Winter,352.59999999999997,13.83
2018,Spring,342.5333333333333,11.08
2018,Summer,361.50333333333333,16.38
2018,Fall,395.8633333333333,23.78
2019,Winter,412.4266666666667,16.97
2019,Spring,408.65333333333336,19.3
2019,Summer,418.57,15.79
2019,Fall,433.29333333333335,9.46
2020,Winter,466.4266666666667,13.09
2020,Spring,455.21000000000004,11.39
2020,Summer,469.00333333333333,12.05
2020,Fall,487.72333333333336,12.56
2021,Winter,572.7366666666667,22.79
2021,Spring,530.9666666666667,16.64
2021,Summer,556.1466666666666,18.58
2021,Fall,586.6066666666667,20.27
2022,Winter,897.2033333333334,56.65
2022,Spring,893.3966666666666,68.26
2022,Summer,998.1933333333333,79.48
2022,Fall,1082.05,84.46
2023,Winter,1434.7300000000002,59.91
2023,Spring,1290.1299999999999,44.41
2023,Summer,1481.9133333333332,48.46
2023,Fall,1748.8833333333332,61.63
2024,Winter,2247.4833333333336,56.65
2024,Spring,2209.6066666666666,71.27
2024,Summer,2388.91,61.2
2024,Fall,2594.1,48.33
2025,Winter,3072.4233333333336,36.71
2025,Spring,3029.22,37.09
2025,Summer,3196.85,33.82
2025,Fall,3434.4233333333336,32.39
2026,Winter,3683.83,19.9
