District,ProductName,2026 Kota
İzmir(Bayındır),Biber (Sivri),1496.02
İzmir(Bayındır),Domates (Sofralık),775.2
İzmir(Bayındır),Hıyar (Sofralık),117.28
İzmir(Bayındır),Kabak (Sakız),140.04
İzmir(Bayındır),Karpuz,2155.8
İzmir(Bayındır),Patlıcan,360.44
İzmir(Bayındır),Soğan (Kuru),0.0
İzmir(Bergama),Biber (Sivri),705.68
İzmir(Bergama),Domates (Sofralık),10453.48
İzmir(Bergama),Hıyar (Sofralık),194.32
İzmir(Bergama),Kabak (Sakız),154.22
İzmir(Bergama),Karpuz,204.24
İzmir(Bergama),Patlıcan,367.3
İzmir(Bergama),Soğan (Kuru),58.94
İzmir(Menderes),Biber (Sivri),1035.54
İzmir(Menderes),Domates (Sofralık),799.62
İzmir(Menderes),Hıyar (Sofralık),4633.8
İzmir(Menderes),Kabak (Sakız),344.0
İzmir(Menderes),Karpuz,1388.84
İzmir(Menderes),Patlıcan,2016.1
İzmir(Menderes),Soğan (Kuru),0.0
İzmir(Tire),Biber (Sivri),999.25
İzmir(Tire),Domates (Sofralık),1448.9
İzmir(Tire),Hıyar (Sofralık),1560.66
İzmir(Tire),Kabak (Sakız),301.25
İzmir(Tire),Karpuz,1865.34
İzmir(Tire),Patlıcan,919.12
İzmir(Tire),Soğan (Kuru),0.0
İzmir(Torbalı),Biber (Sivri),1865.36
İzmir(Torbalı),Domates (Sofralık),5439.78
İzmir(Torbalı),Hıyar (Sofralık),183.36
İzmir(Torbalı),Kabak (Sakız),130.04
İzmir(Torbalı),Karpuz,2261.3
İzmir(Torbalı),Patlıcan,238.88
İzmir(Torbalı),Soğan (Kuru),0.0
İzmir(Ödemiş),Biber (Sivri),1080.0
İzmir(Ödemiş),Domates (Sofralık),2120.0
İzmir(Ödemiş),Hıyar (Sofralık),1076.0
İzmir(Ödemiş),Kabak (Sakız),51.43
İzmir(Ödemiş),Karpuz,2650.0
İzmir(Ödemiş),Patlıcan,523.0
İzmir(Ödemiş),Soğan (Kuru),38.0
